review,rating,date,bank,source
it is fantastic app.,5,2025-11-16,Commercial Bank of Ethiopia,Google Play
excellent,5,2025-11-16,Commercial Bank of Ethiopia,Google Play
sifen,5,2025-11-16,Commercial Bank of Ethiopia,Google Play
i like this√,4,2025-11-16,Commercial Bank of Ethiopia,Google Play
Ok,3,2025-11-16,Commercial Bank of Ethiopia,Google Play
ጥሩ App ነዉ ። የኔ የግል አስተያየት- Update ወይንም cache cleaning app ሲደረግ ለምንድነዉ ደግመን login ስናደርግ Restricted ሚያደርገዉ ቢስተካከል እንደ ሀሳብ ጥሩ ነዉ። በዛላይ ድጋሚ አክቲቬት ለማስደረግ ከፍለን ..,5,2025-11-15,Commercial Bank of Ethiopia,Google Play
"Seriously, what’s going on with this app? The ""Pay to Beneficiary"" option is completely disabled for Android users, yet iOS users get full access without restrictions. Why are Android users being treated like second class customers? It’s the same app, the same service, but clearly not the same experience. This kind of platform bias is unacceptable, either give everyone the same features or be transparent about why you’re limiting functionality. Right now, it just feels unfair and frustrating.",1,2025-11-15,Commercial Bank of Ethiopia,Google Play
Like,5,2025-11-13,Commercial Bank of Ethiopia,Google Play
Nice and very useful app i like it!,5,2025-11-13,Commercial Bank of Ethiopia,Google Play
good,5,2025-11-13,Commercial Bank of Ethiopia,Google Play
Good,5,2025-11-13,Commercial Bank of Ethiopia,Google Play
smart app,4,2025-11-12,Commercial Bank of Ethiopia,Google Play
good App,5,2025-11-12,Commercial Bank of Ethiopia,Google Play
sync problem may 22 2025 but the date stack on may 8 2025 help pls,5,2025-11-12,Commercial Bank of Ethiopia,Google Play
ok,5,2025-11-11,Commercial Bank of Ethiopia,Google Play
cbe is my choice,4,2025-11-11,Commercial Bank of Ethiopia,Google Play
Awesome,5,2025-11-11,Commercial Bank of Ethiopia,Google Play
I am not able to transfer. The app is not responding,1,2025-11-11,Commercial Bank of Ethiopia,Google Play
Very convenient App,5,2025-11-11,Commercial Bank of Ethiopia,Google Play
excellent but sometimes can not connect,5,2025-11-10,Commercial Bank of Ethiopia,Google Play
good app,5,2025-11-10,Commercial Bank of Ethiopia,Google Play
wow apk,5,2025-11-10,Commercial Bank of Ethiopia,Google Play
best 100 %,5,2025-11-10,Commercial Bank of Ethiopia,Google Play
bad app,1,2025-11-10,Commercial Bank of Ethiopia,Google Play
best app,5,2025-11-10,Commercial Bank of Ethiopia,Google Play
wow,5,2025-11-10,Commercial Bank of Ethiopia,Google Play
nice app,5,2025-11-10,Commercial Bank of Ethiopia,Google Play
bad app,4,2025-11-10,Commercial Bank of Ethiopia,Google Play
the app constantly glitches and won't stop loading despite having a decent connection and a cleared cache. telebirr is way better,1,2025-11-10,Commercial Bank of Ethiopia,Google Play
I can't access it properly I think it needs update,1,2025-11-10,Commercial Bank of Ethiopia,Google Play
👌👌,5,2025-11-10,Commercial Bank of Ethiopia,Google Play
best 👌,5,2025-11-10,Commercial Bank of Ethiopia,Google Play
good,4,2025-11-10,Commercial Bank of Ethiopia,Google Play
not Refresh,2,2025-11-10,Commercial Bank of Ethiopia,Google Play
your statement is not used as wanted,1,2025-11-10,Commercial Bank of Ethiopia,Google Play
good very good,5,2025-11-09,Commercial Bank of Ethiopia,Google Play
this is absolute trash why because it's not Woking most time the servers are down even though I'm using 4g data Internet they steal not working they use to work with out even data package now it's trash can't even send money,1,2025-11-09,Commercial Bank of Ethiopia,Google Play
good app,5,2025-11-08,Commercial Bank of Ethiopia,Google Play
